,National Origin,lat,lon,Origin
2,african,-8.783195,34.508522,Africa
19,american,32.3182,-86.9023,United States
11,angola,-11.2027,17.8739,Angola
,amgola,-11.2027,17.8739,Angola
65,back country,,,
66,bambara,15.8494,-2.7855,Bambara
67,banbara,15.8494,-2.7855,Bambara
30,canadian,52.939915,-73.549133,Canada
69,capot,,,
70,cassa,,,
71,catawba,33.8361,-81.1637,South Carolina
10,chamba,9.255770,12.454570,Chamba
12,charleston,33.8361,-81.1637,South Carolina
72,"cheraws, south carolina",33.8361,-81.1637,South Carolina
73,cherokee,34.730620,-83.924130,Cherokee Nation
1,congo,4.0383,21.7587,Congo
4,coromantee,5.554720,-0.220970,Coromantee
74,country,,,
75,countryman,,,
76,creol,18.971188,-72.285217,Saint-Domingue
0,creole,18.971188,-72.285217,Saint-Domingue
18,curacoa,12.169570,-68.990021,Curucao
3,ebe,6.227934,8.530907,Igbo
,ebo,6.227934,8.530907,Igbo
,eboe,6.227934,8.530907,Igbo
23,english,52.355518,-1.174320,England
77,english mulatto,52.355518,-1.174320,England
78,english west indies,18.109581,-77.297508,English West Indies
,fantee,5.594118,-1.768297,Phanty
79,fantee,5.594118,-1.768297,Phanty
41,foolah,17.570692,-3.996166,Foolah
38,foulah,17.570692,-3.996166,Foolah
13,french,46.227638,2.213749,French
27,fullah,17.570692,-3.996166,Foolah
39,german,51.165691,10.451526,German
81,gola,32.602362,-80.243225,Gullah
20,gro,,,
7,guinea,1.142502,9.358487,Guinea
82,gulla,32.602362,-80.243225,Gullah
28,gullah,32.602362,-80.243225,Gullah
32,havanna,23.113592,-82.366592,Havana
83,hebrew,,,
84,hibo,6.227934,8.530907,Igbo
34,ibo,6.227934,8.530907,Igbo
85,india,20.5937,78.9629,India
33,indian,,,
62,island,,,
86,island of st. eustatia,,,
87,island of st. martins,,,
88,kingston in jamaica,18.017874,-76.809906,Jamaica
89,latter parish,,,
36,malabar,11.183791,75.833364,Malabar
90,malimba,3.844119,11.501346,Malimba
35,mandinga,8.460555,-11.779889,Mandingo
15,mandingo,8.460555,-11.779889,Mandingo
91,maniga,,,
92,marseilles,47.068008,3.013480,Marseilles
93,mena,9.307690,2.315834,Mina
64,mocho,-12.477491,15.175381,Moco
9,moco,-12.477491,15.175381,Moco
63,morocco,31.791702,-7.092620,Morroco
8,mundingo,8.460555,-11.779889,Mandingo
61,mungla,-25.025280,32.649550,Mungola
6,mungola,-25.025280,32.649550,Mungola
17,nago,7.493196,4.307905,Nago
46,native of this country,,,
54,norfolk,37.431572,-78.656891,Virginia
52,northern,,,
56,northward,,,
59,pampa,,,
16,papa,6.279820,1.823810,Papa
29,papaw,,,
45,parish,,,
55,parish of,,,
40,phanty,5.594118,-1.768297,Phanty
24,portuguese,39.399872,-8.224454,Portugal
5,sambo,9.255770,12.454570,Chamba
58,savannah,32.080898,-81.091202,Savannah
42,senegal,14.497401,-14.452362,Senegal
57,soco,,,
53,south carolina,33.8361,-81.1637,South Carolina
22,state of,,,
51,succo,,,
44,united states,32.3182,-86.9023,United States
14,virginia,37.431572,-78.6569,Vriginia
50,virginia though brought out in,37.431572,-78.6569,Virginia
48,virginian,37.431572,-78.6569,Virginia
25,wakee,,,
47,walkee,,,
94,wawee,,,
